"SID","AP","Have","Plan"
"10T4","Biology",FALSE,TRUE
"10T2","Biology",FALSE,TRUE
"10T6","Biology",TRUE,TRUE
"2C5","Biology",TRUE,TRUE
"10T3","Biology",FALSE,FALSE
"4G2","Biology",FALSE,TRUE
"10S5","Biology",TRUE,TRUE
"2C1","Biology",FALSE,TRUE
"10T5","Biology",TRUE,TRUE
"4H5","Biology",TRUE,TRUE
"2C3","Biology",TRUE,TRUE
"10S4","Biology",TRUE,TRUE
"4G6","Biology",FALSE,TRUE
"4H2","Biology",FALSE,TRUE
"10S3","Biology",TRUE,TRUE
"10T1","Biology",TRUE,TRUE
"9Q4","Biology",TRUE,TRUE
"4G3","Biology",TRUE,TRUE
"4H1","Biology",FALSE,TRUE
"2D4","Biology",FALSE,TRUE
"4G1","Biology",TRUE,TRUE
"2D5","Biology",FALSE,TRUE
"2C2","Biology",TRUE,TRUE
"1A1","Biology",TRUE,TRUE
"1A6","Biology",FALSE,TRUE
"10S1","Biology",FALSE,TRUE
"1B3","Biology",TRUE,TRUE
"1B4","Biology",TRUE,TRUE
"1A3","Biology",FALSE,TRUE
"9Q6","Biology",FALSE,FALSE
"1B5","Biology",FALSE,TRUE
"9Q5","Biology",FALSE,TRUE
"1B2","Biology",TRUE,TRUE
"9Q2","Biology",TRUE,TRUE
"1B1","Biology",FALSE,TRUE
"9Q3","Biology",FALSE,TRUE
"1A5","Biology",TRUE,TRUE
"2D3","Biology",TRUE,TRUE
"7M5","Biology",TRUE,TRUE
"7M3","Biology",FALSE,TRUE
"3E4","Biology",TRUE,TRUE
"3F4","Biology",TRUE,TRUE
"3E1","Biology",TRUE,TRUE
"3E3","Biology",FALSE,FALSE
"3E5","Biology",FALSE,TRUE
"3E2","Biology",FALSE,TRUE
"2D1","Biology",TRUE,TRUE
"7N2","Biology",TRUE,TRUE
"7N3","Biology",TRUE,TRUE
"7N5","Biology",TRUE,TRUE
"7N1","Biology",TRUE,TRUE
"7N4","Biology",TRUE,TRUE
"3F1","Biology",TRUE,TRUE
"3F2","Biology",FALSE,TRUE
