"SID","SPH","EO.sum","EO","Edu"
"10S1",FALSE,2,1,"Associate degree"
"10S2",FALSE,2,1,"Some college"
"10S3",FALSE,6,3,"Bachelor’s degree"
"10S4",FALSE,8,4,"Post graduate degree"
"10S5",FALSE,4.5,2.5,"Bachelor’s degree"
"10S6",FALSE,10,5,"Doctoral degree"
"10T1",FALSE,8,4,"Post graduate degree"
"10T2",FALSE,2,1,"Associate degree"
"10T3",FALSE,4,2,"Bachelor’s degree"
"10T4",FALSE,2,1,"Some high school"
"10T5",FALSE,2,1,"Associate degree"
"10T6",FALSE,8,5,"Doctoral degree"
"1A1",FALSE,10,5,"Doctoral degree"
"1A3",FALSE,2,1,"Associate degree"
"1A5",FALSE,2,1,"Associate degree"
"1A6",TRUE,1,1,"Some high school"
"1B1",FALSE,4,3,"Bachelor’s degree"
"1B2",FALSE,2,1,"Some college"
"1B3",FALSE,3,2,"Bachelor’s degree"
"1B4",FALSE,2,1,"Some high school"
"1B5",FALSE,4,3,"Bachelor’s degree"
"2C2",FALSE,6,3,"Bachelor’s degree"
"2C3",FALSE,2,1,"High school graduate"
"2C4",FALSE,4,3,"Bachelor’s degree"
"2C5",FALSE,8,5,"Doctoral degree"
"2D1",FALSE,3,2,"Bachelor’s degree"
"2D2",FALSE,6.5,4,"Post graduate degree"
"2D3",FALSE,2,1,"Primary Education only"
"2D4",FALSE,6,3,"Bachelor’s degree"
"2D5",FALSE,4,3,"Bachelor’s degree"
"3E1",FALSE,2,1,"High school graduate"
"3E2",FALSE,4,3,"Bachelor’s degree"
"3E3",FALSE,7,4,"Post graduate degree"
"3E4",FALSE,5,3,"Bachelor’s degree"
"3E5",FALSE,2,1,"High school graduate"
"3F1",FALSE,2,1,"Some high school"
"3F2",FALSE,8,4,"Post graduate degree"
"3F3",TRUE,1,1,"Some college"
"4G1",FALSE,7,4,"Post graduate degree"
"4G2",FALSE,8,4,"Post graduate degree"
"4G3",FALSE,2,1,"Associate degree"
"4G4",FALSE,5,3,"Bachelor’s degree"
"4G6",FALSE,2,1,"Primary Education only"
"4H1",FALSE,4,3,"Bachelor’s degree"
"4H2",FALSE,4,3,"Bachelor’s degree"
"4H5",FALSE,2,1,"Associate degree"
"6K2",FALSE,6,3,"Bachelor’s degree"
"6K4",FALSE,3.5,2.5,"Bachelor’s degree"
"6K5",FALSE,8,4,"Post graduate degree"
"6L1",FALSE,6,3,"Bachelor’s degree"
"6L2",FALSE,2,1,"Some college"
"6L3",FALSE,2,1,"Some college"
"6L4",FALSE,2,1,"Some high school"
"6L5",FALSE,8,5,"Doctoral degree"
"7M2",FALSE,6,3,"Bachelor’s degree"
"7M3",FALSE,2,1,"Some high school"
"7M4",FALSE,8,4,"Post graduate degree"
"7M5",FALSE,2,1,"Some college"
"7N1",FALSE,4,3,"Bachelor’s degree"
"7N2",FALSE,3,2,"Bachelor’s degree"
"7N3",FALSE,6.5,4,"Post graduate degree"
"7N4",FALSE,6,3,"Bachelor’s degree"
"7N5",FALSE,5.5,3,"Bachelor’s degree"
"8O1",FALSE,5.5,3,"Bachelor’s degree"
"8O2",FALSE,2,1,"Some college"
"8O3",FALSE,7,4,"Post graduate degree"
"8O4",FALSE,5,3,"Bachelor’s degree"
"8O5",FALSE,9,5,"Doctoral degree"
"8P1",FALSE,10,5,"Doctoral degree"
"8P2",FALSE,5,2.5,"Bachelor’s degree"
"8P3",FALSE,2,1,"Primary Education only"
"8P4",FALSE,7.5,5,"Doctoral degree"
"8P5",FALSE,2,1,"Some high school"
"8P6",FALSE,2,1,"Some high school"
"9Q2",FALSE,3,2,"Bachelor’s degree"
"9Q3",FALSE,8,4,"Post graduate degree"
"9Q4",FALSE,2,1,"Some high school"
"9Q5",FALSE,8,4,"Post graduate degree"
"9Q6",FALSE,5,2.5,"Bachelor’s degree"
"9R2",FALSE,2,1,"Some college"
"9R3",FALSE,2,1,"Some high school"
"9R4",FALSE,2,1,"Associate degree"
"9R5",FALSE,4,3,"Bachelor’s degree"
