"SID","Q1","Q2","Q3","Q10","Q6a","Q6b"
"10T4","I am attending this camp because I really like science","I think I'll learn a lot through this experience","I don't know, maybe a doctor",NA,"Science, Math","I've always understood math and I like learning new things in science"
"10T2","I'm attending this camp to be exposed to the field I'm interested in","I expect to learn as much as I can and enjoy my time here","I'm interested in physical therapy, athletic trainer or surgeon",NA,"Math","I like being able to solve problems and ones that have challenge"
"10T6","I want to study, explore and get a fundamental knowledge of medicine","Hands on practice, lectures, observations","Either pursue a career in medicine or criminal justice",NA,"Math","I like solving problems and concrete answers"
"2C5","I've been interested in science and am curious to see whether medicine is a field I'd be interested in.","I hope to find a practice I'm interested in pursuing.","Internship in foreign country maybe, military? I don't know yet.","Sea camp for marine biology in 2012","Science","To see how everything works and fits together."
"10T3","To heighten my knowledge and experience of the medical field","To inform us about medical fields","Anesthesiology or OBGYN",NA,"Biology",NA
"4G2","Parents made me","To learn sports medicine","Pro soccer or sports med",NA,"Math","I love numbers"
"10S5","I would like to learn more about health professions, as well as what I need to do to work in the health field.","I expect to meet people who share my interests and to learn more about this field.","When I graduate college, I think that I will pursue a job in health science or computer science.",NA,"Math","I enjoy working with numbers"
"2C1","To get a feeling of what it's like in the field of medicine.","I get to experience and learn a lot.","Continue to medical school.",NA,"Science","I think that the way life works is amazing in which we depend on one another."
"10T5","I'm interested in it's new Med. School and plan on going to dental school","See a variety of careers and experience new things","Go to dental school and become a orthodontist",NA,"Math","It's very logical and we use it everyday"
"4H5","To get a better understanding of the health field","To participate in very interesting labs and maybe know which field of health I would like to zone in on.","I think I would like to become a doctor without borders",NA,"Biology","I had a great teacher who made it interesting"
"2C3","Get to know what part of the medical field I want to go into.","A lot of hands-on activities filled with a lot of information.","Something with OBGYN and neonatal.",NA,"Science","Very interesting."
"10S4","I enjoy learning about the way science is implemented in our daily lives.","To gain more knowledge about the field of medicine and be encouraged to pursue a career in it.","Biomedical engineer or pharmacist",NA,"Biology","It is interesting for me to learn about the way organisms function."
"4G6","I'm attending this camp because I want to experience new things in the medical field because I am interested in being a neonatal nurse","Well my expectations are that pretty much everyone to have fun and be safe","Medical school and from there see where things go",NA,"Science","Has always had my attention and I've always been good at it"
"4H2","I would like to have a career in the medical field","Gain more medical and hands on experience","Apply to medical school, become a surgeon",NA,"Chemistry","I like doing hands on labs and I love atoms and balancing"
"10S3","To gain experience in the health field.","To learn about basic skills physicians need and advice about how to get into schools.","Go into med school, then a residency somewhere. I'd also like to fit Doctors without Borders in.",NA,"Biology","I like learning about how the world around us and our bodies work."
"10T1","I want to pursue a career in medicine and thought this would be a great opportunity to explore the field","I'd like to explore different areas in medicine and learn more about being a doctor","Attend Med school and become a doctor","Welch summer scholar program-chemistry-2016, Ut research methods-science-2015, UT research academy-science-2016, Dell Children's Teen Volunteer Program-medicine-2014","Biology, Chemistry","I love how bio explains the world around us and how chem"
"10S6","I'm interested in pursuing a career in this field.","I expect to learn about jobs in the health sciences field.","I will probably go on to earn a higher degree.",NA,"Physics","I enjoy problem-solving and analysis, and my meticulous nature is an advantage."
"9Q4","I am attending this camp because I am always interested in being part of different programs. Also because I know camps like this help me improve in skills needed for college.","My expectation are that DMS health science allows me to explore and learn new things.","After I graduate from college I want to start my own company or code websites for different programs.",NA,"Biology","Biology is my favorite class because there is so much to learn and explore"
"10S2","To determine whether I'd like to be in the medical field or not.","Have a bit of fun and have experience with seeing what it would be like to be a doctor.","I would like to become a coder and help companies.",NA,"CompSci","I love learning code and applying it to websites."
"4G3","I want to learn more about the body and more about medical work.","Interesting and new","Major in computer science and literature",NA,"English, Science","I love the idea of creating something and science because I'm curious about the world"
"4H1","Get an early start on my knowledge of health science","I expect that each day we will be busy learning new things about the medical field. I hope to come out of this camp knowing more and being ahead of most freshmen","I think I want to become a specialist in cardiology when I graduate college","Surgical medical class at ACC","Math","I love solution equations and following the steps to get the answer"
"2D4","To get more exposure to the medical field","To learn some of the aspects of a health care profession","Go to med school and become a pediatrician","Seton health science camp","Biology","Because it is interesting to see what the world around us has different things that make it up"
"4G4","Because in the future, I want to pursue a healthcare profession; this camp will be a very helpful opportunity for me to explore health","My expectations for this years DMS health sciences is to just gain knowledge and possibly more connections.","Work as a registered nurse and go back to a graduate school to advance my knowledge in nursing and become a nurse practitioner","Leadership summer camp, July 2016","Biology",NA
"4G1","To learn more about health science field","High","Doctor",NA,"Biology","Learning new things about the body was not that bad"
"2C4","I am attending this camp because I am interested to be in the health science field. And wanting to receiving more info about the medical field.","I expect to learn more about the health science field and information about the human body and advanced technology.","After I graduate I definitely want to work and pursue a career as an RN.",NA,"Anatomy","Interested about the human cells and other aspects of the body."
"2D5","I am attending this camp because i believe it's a great experience.","I expect many different learning situations and lots of exposure.","I would like to become a speech therapist.",NA,"Biology","It relates a lot to the human body and how it works."
"2C2","To help me learn more about and experience the med field.","I expect to learn about the field try new things and have fun while making new friends.","I want to be a CRNA",NA,"Chemistry","Very hands on and so much fun to learn"
"1A1","Exposure to a health-care environment.","To learn more about distinctions within the medical field.","Research/cancer oriented",NA,"Biology","Interesting/fascinating subject matter"
"1A6","It seemed to be interesting.","To learn things I've never known","Run for office/computer science",NA,"CompSci","To personal"
"10S1","To experience new things and to find my way in the medical field.","To learn a lot of new information","Attend medical school to become a doctor",NA,"Biology","Studying life is very interesting and the amount of information is endless"
"1B3","I was invited by my school, and I want a career in the medical field.","To learn more about all health sciences and to gain fun experiences.","I want to be a surgeon.",NA,"Math","I love solving problems and the satisfaction you get when doing it."
"1B4","I want to find myself, as in finding what I want to do in the future, I want to discover what I'm interested in.","I want to gain more experiences, learn more with other students.  Maybe watch surgery in person, maybe live birth as well.","Obviously something in the medical field, specifically not sure.",NA,"Math","It has always been my strongest, remember rules and you're good to go."
"1A3","I have been always been interested in the medical field but I still don't know what I want to be.","Have fun learn of jobs that I haven't know they are.","EMT",NA,"HealthSci","You get to learn about about your body and take care of it."
"9Q6","I'm interested in becoing a medical researcher, thought it wuld be fun to see what being in the field is like","I want to be able to better uneerstand what this career path is like, what training goes into it, etc.","Medical researcher in Nueology",NA,"Chemistry, Math","Science and math come easily to me, and I like how there's some structure in both fields."
